name	path	emotion
h06 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h06 (1).wav	happiness
a07 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a07 (1).wav	anger
d03 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d03 (4).wav	disgust
s08 (2)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s08 (2).wav	sadness
s15 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s15 (3).wav	sadness
s02 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s02 (1).wav	sadness
f17 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f17 (1).wav	fear
f12 (01)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f12 (01).wav	fear
d17 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d17 (5).wav	disgust
h14 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h14 (4).wav	happiness
d12 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d12 (4).wav	disgust
a15 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a15 (1).wav	anger
d17 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d17 (4).wav	disgust
s07 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s07 (1).wav	sadness
a06 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a06 (6).wav	anger
f20 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f20 (6).wav	fear
h07 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h07 (5).wav	happiness
s02 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s02 (3).wav	sadness
h04 (2)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h04 (2).wav	happiness
s04 (2)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s04 (2).wav	sadness
h18 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h18 (5).wav	happiness
s05 (3)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s05 (3).wav	sadness
f19 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/fear/f19 (6).wav	fear
d04 (4)	/data/aesdd/Acted Emotional Speech Dynamic Database/disgust/d04 (4).wav	disgust
a07 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a07 (6).wav	anger
s01 (2)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s01 (2).wav	sadness
h15 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h15 (6).wav	happiness
a05 (2)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a05 (2).wav	anger
h03 (6)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h03 (6).wav	happiness
a08 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a08 (5).wav	anger
h01 (1)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h01 (1).wav	happiness
s12 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/sadness/s12 (5).wav	sadness
a06 (2)	/data/aesdd/Acted Emotional Speech Dynamic Database/anger/a06 (2).wav	anger
h12 (5)	/data/aesdd/Acted Emotional Speech Dynamic Database/happiness/h12 (5).wav	happiness
